Provider_Number,Provider_Number,Readm_rate
210017,210017,"0.980941672"
210018,210018,"1.100226767"
210019,210019,"0.907152605"
210023,210023,"1.085126866"
210024,210024,"0.993182903"
210027,210027,"1.024430282"
210029,210029,"1.095660414"
210033,210033,"1.013676991"
210034,210034,"0.966719123"
210039,210039,"0.973990098"
210048,210048,"0.956112524"
210056,210056,"1.114358829"
210061,210061,"1.096104806"
220002,220002,"1.008457797"
220008,220008,"0.99366086"
220010,220010,"1.116666122"
220012,220012,"0.960933711"
220016,220016,"1.093159585"
220019,220019,"0.959521392"
220020,220020,"1.033830715"
220024,220024,"0.937882097"
220029,220029,"1.077088346"
220050,220050,"0"
220052,220052,"0.946183336"
220071,220071,"1.054442191"
220073,220073,"0.98715516"
220077,220077,"0.876708523"
220080,220080,"1.059931343"
220083,220083,"0.969613428"
220086,220086,"1.16691954"
220088,220088,"0"
220090,220090,"1.024831157"
220095,220095,"0.994752739"
220098,220098,"0"
220101,220101,"0.931367411"
220105,220105,"1.076258829"
220110,220110,"1.139506387"
220116,220116,"1.170645929"
220119,220119,"0.996196089"
220126,220126,"1.121237064"
220135,220135,"0.940641675"
220177,220177,"0"
230013,230013,"0"
230017,230017,"0.916187026"
230022,230022,"0.959301602"
230037,230037,"0.90200481"
230041,230041,"1.091061598"
230053,230053,"1.147460761"
230069,230069,"0"
230080,230080,"1.065011717"
230085,230085,"0"
230093,230093,"0"
230095,230095,"0.945578525"
230097,230097,"0.938325008"
230117,230117,"0.903823672"
230118,230118,"0.993514806"
230121,230121,"0.98891792"
230132,230132,"1.03385295"
230133,230133,"0"
230141,230141,"1.004071072"
230146,230146,"0.977168033"
230174,230174,"0"
230193,230193,"0.905279231"
230207,230207,"0.971276952"
230217,230217,"0.956967553"
230227,230227,"1.115077448"
230236,230236,"0.958235714"
230244,230244,"1.181906445"
230254,230254,"1.009163141"
240001,240001,"0.867247461"
240004,240004,"0.926283999"
240006,240006,"0"
240014,240014,"0"
240018,240018,"0"
240020,240020,"0"
240030,240030,"0"
